source,target
47,53
16,84
7,26
59,64
36,62
7,35
59,82
58,86
48,63
21,46
11,23
29,59
50,91
10,27
6,75
25,52
51,64
3,33
1,72
32,87
13,83
24,92
5,60
40,45
5,87
28,89
42,82
39,76
14,19
43,64
4,91
51,86
13,69
28,39
24,87
88,90
9,44
68,93
47,70
29,31
61,72
80,85
21,45
80,94
42,95
10,35
81,86
32,41
39,98
51,63
4,86
16,69
36,47
46,79
76,92
9,39
6,33
50,67
5,77
7,96
27,74
61,94
19,88
20,53
31,62
32,36
23,67
24,32
20,80
43,45
31,89
1,48
12,94
32,72
56,91
43,72
17,38
68,74
36,51
65,87
38,79
28,56
9,52
5,63
38,97
61,62
21,35
61,80
42,76
2,3
50,89
0,70
8,74
91,99
31,57
11,88
0,88
23,62
12,62
4,76
87,92
4,85
65,82
14,98
46,78
26,72
57,87
68,87
68,96
46,96
38,92
7,86
30,60
61,75
20,34
31,52
23,48
19,96
11,92
53,76
43,53
56,72
72,89
13,49
16,45
22,79
64,94
37,86
9,15
65,68
46,64
26,67
68,82
15,85
15,94
23,25
60,83
0,78
91,98
60,92
4,39
12,52
75,90
52,97
44,93
34,58
45,67
22,74
87,91
3,70
45,85
53,98
46,59
15,71
27,45
42,52
48,95
20,24
82,97
0,64
23,29
12,38
31,51
1,28
24,30
33,97
64,75
37,58
22,69
34,71
5,7
5,16
14,83
49,50
5,25
49,59
70,91
15,75
50,51
42,47
18,89
48,90
71,92
11,50
11,68
52,69
75,80
1,5
10,72
13,16
45,48
24,25
16,21
53,79
15,34
56,84
5,11
26,43
57,58
59,77
18,48
55,97
11,18
18,66
19,31
27,44
17,98
6,79
6,97
60,86
44,87
22,50
3,46
44,96
74,97
37,57
2,99
22,77
70,72
26,47
55,83
59,90
17,84
59,99
11,22
29,76
48,89
29,85
12,23
21,90
22,36
25,69
74,83
37,43
66,79
22,54
45,56
3,50
66,88
22,63
3,59
18,20
15,33
7,29
36,74
26,51
8,12
28,79
9,75
29,53
19,30
8,30
9,84
6,60
11,35
29,71
63,73
21,94
73,95
2,53
33,68
3,54
14,54
13,86
3,63
13,95
24,95
7,33
18,42
47,78
29,39
70,89
29,57
92,95
9,88
6,64
48,79
21,71
33,36
44,45
33,45
73,81
39,88
62,99
22,26
25,59
54,95
34,37
32,76
3,49
51,98
16,77
26,32
59,75
9,74
80,88
73,76
2,34
62,85
73,94
32,89
43,98
76,95
59,70
28,64
6,36
69,74
28,82
80,92
27,95
10,24
50,97
0,96
25,40
39,96
54,94
66,68
13,62
13,71
35,80
16,76
17,41
13,89
5,66
28,68
69,78
50,83
10,19
30,86
30,95
54,71
12,65
54,80
84,99
51,74
23,92
17,27
24,75
65,76
5,34
17,36
17,45
49,86
57,99
15,93
38,95
29,37
58,73
18,98
69,91
30,72
42,83
2,10
19,81
39,59
2,19
11,95
13,34
20,82
72,83
35,43
24,52
34,84
87,99
35,70
57,67
1,77
49,72
76,98
50,55
6,39
69,77
19,76
2,5
31,41
10,18
19,85
31,59
12,55
23,55
31,68
16,25
13,38
1,54
35,56
1,63
65,66
34,97
3,91
57,80
68,89
6,25
42,46
21,23
58,72
20,36
8,80
31,45
30,89
54,56
11,85
24,33
43,46
1,40
46,48
49,53
3,95
26,78
38,80
7,74
18,92
42,59
0,53
29,98
23,27
8,75
2,4
0,71
31,49
60,94
75,92
13,37
22,67
37,65
3,90
37,92
67,93
70,98
27,38
30,34
71,72
26,82
90,94
42,54
71,99
48,97
63,95
12,40
1,3
83,91
1,12
10,79
34,55
16,28
45,73
45,82
34,82
15,41
9,16
46,65
18,46
14,94
38,61
19,20
7,64
19,29
7,82
18,82
71,85
79,98
30,56
21,84
11,61
23,26
4,31
60,93
41,89
44,85
22,75
5,13
86,96
38,56
26,63
47,95
48,60
18,68
79,84
8,42
6,81
29,83
20,25
63,94
12,30
25,49
4,26
41,84
85,90
14,48
34,63
26,31
18,36
78,87
15,58
28,86
8,28
28,95
0,24
6,67
29,78
40,87
52,61
41,61
52,70
10,64
10,73
74,76
37,45
66,81
32,88
14,61
24,93
18,49
48,50
47,85
48,59
11,19
40,55
9,86
40,64
40,73
29,73
63,75
21,69
81,83
81,92
25,39
21,87
2,46
2,55
25,57
51,69
14,29
14,56
