node,opinion,threshold
0,A,1
1,A,1
2,B,2
3,A,2
4,B,2
5,D,2
6,C,1
7,C,2
8,B,1
9,D,2
10,D,1
11,A,2
12,E,1
13,B,2
14,A,1
15,A,2
16,A,2
17,B,1
18,A,1
19,D,2
20,E,2
21,C,2
22,B,1
23,E,1
24,C,2
25,D,1
26,A,1
27,B,1
28,C,1
29,E,1
30,A,2
31,B,1
32,A,1
33,A,1
34,E,1
35,C,1
36,A,2
37,D,1
38,E,2
39,C,2
40,A,1
41,A,2
42,B,2
43,A,2
44,A,1
45,A,1
46,A,1
47,A,1
48,A,2
49,B,1
50,B,1
51,C,1
52,A,2
53,B,1
54,B,2
55,D,2
56,A,2
57,B,1
58,A,1
59,A,1
60,E,1
61,B,1
62,A,2
63,A,2
64,C,2
65,A,2
66,C,2
67,B,2
68,D,1
69,D,1
70,A,1
71,E,1
72,B,2
73,C,2
74,B,2
75,C,2
76,D,2
77,C,1
78,D,2
79,D,2
80,E,2
81,A,1
82,C,2
83,A,1
84,E,1
85,A,1
86,E,1
87,C,2
88,A,2
89,A,1
90,A,1
91,C,2
92,A,2
93,A,1
94,A,2
95,A,2
96,E,1
97,A,1
98,A,2
99,B,2
