source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,17
0,18
0,22
0,24
0,29
0,35
0,38
0,43
0,45
0,49
0,57
0,62
0,86
1,5
1,6
1,7
1,11
1,13
1,14
1,21
1,23
1,26
1,37
1,50
1,53
1,58
1,66
1,67
1,83
1,95
2,5
2,15
2,17
2,25
2,26
2,31
2,49
2,74
2,76
3,5
3,6
3,8
3,10
3,12
3,13
3,16
3,20
3,21
3,26
3,27
3,31
3,33
3,59
3,65
3,68
3,72
3,74
3,75
3,77
3,82
3,86
3,96
4,25
4,51
5,6
5,7
5,8
5,9
5,10
5,12
5,14
5,18
5,19
5,21
5,22
5,23
5,24
5,25
5,28
5,37
5,43
5,47
5,48
5,51
5,55
5,73
5,74
5,78
5,79
5,86
5,91
5,98
6,7
6,9
6,11
6,27
6,33
6,40
6,66
6,85
6,97
7,8
7,9
7,12
7,15
7,16
7,17
7,21
7,22
7,26
7,27
7,30
7,31
7,32
7,50
7,54
7,55
7,57
7,58
7,59
7,62
7,64
7,67
7,69
7,75
7,82
7,93
7,95
8,15
8,35
8,46
9,10
9,13
9,14
9,16
9,18
9,20
9,23
9,24
9,28
9,32
9,33
9,38
9,44
9,45
9,46
9,48
9,50
9,53
9,55
9,60
9,61
9,63
9,68
9,71
9,82
9,83
9,88
9,89
9,94
10,11
10,19
10,40
10,48
10,68
10,75
11,19
11,53
11,69
12,98
13,14
13,16
13,17
13,18
13,22
13,25
13,27
13,67
13,70
13,71
13,90
13,94
14,15
14,29
14,38
14,42
14,66
15,28
15,41
15,60
15,69
15,97
16,19
16,34
16,37
16,62
16,76
16,83
16,84
16,94
17,20
17,29
17,35
17,36
17,41
17,56
17,63
17,70
17,84
17,86
17,93
18,20
18,24
18,30
18,36
18,38
18,63
18,89
18,96
18,99
19,23
19,32
19,39
19,40
19,44
19,45
19,46
19,51
19,58
19,67
19,78
19,88
19,89
19,92
19,95
21,30
21,34
21,35
21,39
21,58
21,72
21,78
21,99
23,29
23,31
23,42
23,54
23,80
24,36
24,37
24,42
24,44
24,49
24,77
24,83
24,90
25,28
25,32
25,33
25,34
25,36
25,40
25,44
25,45
25,56
25,72
25,85
25,88
26,64
26,81
27,34
27,43
27,70
28,41
28,49
28,74
28,76
28,87
28,91
28,92
29,30
29,52
30,55
30,65
30,85
30,99
31,42
31,61
31,81
32,43
32,46
32,93
33,47
33,52
34,41
34,59
35,39
35,79
35,87
36,52
36,80
37,39
37,90
38,48
38,60
39,91
40,61
40,77
40,97
41,50
41,52
42,81
42,89
43,47
43,51
43,64
44,53
44,57
44,65
44,73
44,85
44,92
44,95
46,47
46,54
46,66
46,99
47,61
47,79
47,96
48,56
48,84
49,72
50,57
50,77
51,64
51,73
52,60
53,54
53,56
53,62
53,76
53,79
53,80
53,81
53,82
53,90
55,68
56,65
56,71
56,87
57,59
57,63
57,80
59,88
60,70
60,71
60,96
60,98
62,73
63,69
68,93
68,98
71,91
72,75
73,78
73,84
80,92
80,94
86,87
93,97
