user,opinion
0,
1,
2,
3,
4,
5,-0.034
6,0.6148
7,
8,-0.0089
9,0.5371
10,0.1332
11,-0.4033
12,
13,0.0905
14,
15,
16,-0.6617
17,-0.9746
18,
19,
20,0.2032
21,-0.5579
22,0.9787
23,
24,0.6166
25,-0.7541
26,-0.3823
27,-0.6815
28,0.0551
29,
30,-0.565
31,
32,
33,-0.2629
34,
35,
36,-0.0534
37,-0.791
38,
39,
40,0.3287
41,0.7319
42,
43,
44,
45,
46,
47,
48,
49,-0.6494
50,
51,
52,
53,
54,
55,-0.4282
56,0.5478
57,0.655
58,0.4701
59,
60,
61,-0.895
62,
63,-0.4046
64,
65,
66,0.4037
67,
68,-0.3767
69,
70,
71,
72,0.5133
73,0.707
74,-0.7782
75,
76,
77,0.8072
78,-0.8393
79,-0.0393
80,0.534
81,0.4926
82,-0.1729
83,-0.8296
84,
85,-0.7724
86,
87,-0.3848
88,
89,-0.8888
90,-0.7145
91,
92,0.7738
93,-0.9619
94,
95,
96,
97,-0.427
98,
99,-0.8177
