source,target
13,88
16,93
17,58
36,71
28,67
47,80
6,48
17,94
29,68
21,64
40,77
41,42
73,74
6,84
25,34
44,47
54,97
13,65
36,48
15,25
96,99
1,90
88,95
18,30
46,98
29,45
48,58
21,41
40,54
80,90
5,96
10,31
54,74
73,87
31,90
43,64
35,60
1,67
66,84
13,78
32,91
17,48
36,61
9,44
76,97
47,70
6,38
9,80
50,81
69,94
21,54
27,97
11,89
54,87
23,99
17,25
1,80
5,50
6,15
38,84
58,62
49,93
9,57
50,58
61,67
40,44
50,94
91,95
42,90
73,77
31,80
4,63
32,45
51,58
23,76
43,54
16,37
35,50
65,78
16,73
76,87
9,34
88,98
5,63
6,28
58,75
50,71
69,84
42,67
61,80
20,48
30,92
31,57
1,34
32,58
56,86
35,63
22,93
38,74
57,87
42,44
15,90
8,51
26,99
11,56
31,34
10,11
42,80
0,83
19,96
11,92
12,57
52,93
31,70
32,35
4,53
24,31
43,44
34,81
5,17
37,86
65,68
57,64
49,60
28,37
68,73
15,67
26,76
18,72
38,87
79,88
30,46
61,70
7,99
0,60
60,74
30,82
91,98
83,94
41,97
1,24
33,93
34,58
25,89
72,84
64,80
16,40
56,76
22,83
5,30
37,99
38,64
15,80
7,76
8,41
26,89
27,54
19,50
21,96
60,87
12,47
52,83
23,56
22,60
45,80
5,7
38,41
9,14
49,50
27,31
18,62
30,36
6,93
75,80
1,14
33,83
52,96
93,97
85,93
64,70
16,30
2,95
22,73
15,34
59,77
70,86
89,99
36,93
15,70
48,67
27,44
0,27
18,75
11,36
71,87
63,83
82,96
21,86
41,64
60,77
33,60
52,73
4,33
44,69
22,50
74,97
45,70
37,66
14,82
15,47
55,83
7,43
47,79
18,52
70,99
9,89
29,67
21,63
11,49
10,53
21,99
1,4
33,73
44,82
45,47
2,85
15,24
7,20
26,33
67,71
18,29
17,70
36,83
55,96
29,80
21,76
25,46
39,93
44,59
3,27
34,51
32,90
37,56
24,86
16,82
35,95
7,33
26,46
67,84
18,42
36,96
29,57
33,63
20,93
25,59
32,67
2,75
22,53
7,10
66,96
24,99
16,95
36,73
47,82
29,70
42,89
21,66
62,67
33,40
73,76
54,99
4,98
32,80
24,76
43,89
36,50
28,46
7,23
47,59
88,97
59,70
5,62
38,96
17,73
58,74
29,47
69,83
21,43
61,79
80,92
10,33
62,80
73,89
31,92
32,57
23,88
24,53
3,30
35,62
13,80
16,85
17,50
76,99
9,46
47,72
5,75
6,40
50,83
69,96
61,92
27,99
0,82
25,26
20,60
39,73
32,34
2,42
12,92
13,57
53,93
17,27
35,75
47,49
6,17
29,37
69,73
21,33
61,69
80,82
27,76
50,96
10,23
42,92
83,93
8,99
20,73
32,47
72,83
23,78
24,43
84,94
16,39
35,52
1,59
34,93
5,29
65,80
16,75
17,40
76,89
9,36
68,85
15,79
26,88
6,30
58,77
69,86
42,69
11,81
30,94
1,36
53,83
56,88
9,13
22,95
5,42
46,80
65,93
49,85
68,98
15,92
27,66
0,49
20,27
39,40
30,71
23,32
75,79
8,89
41,86
20,63
60,99
11,94
13,24
32,37
44,91
72,73
24,33
1,49
34,83
53,96
45,92
5,19
38,53
17,30
57,66
76,79
49,62
3,95
68,75
15,69
26,78
27,43
6,20
90,99
82,95
20,40
60,76
39,53
75,92
1,26
33,95
34,60
45,69
64,82
16,42
22,85
34,96
26,55
46,70
38,66
70,98
15,82
18,87
19,52
11,48
12,13
4,45
14,58
34,73
45,82
46,47
49,52
22,98
14,94
7,55
26,68
27,33
79,80
11,25
71,76
48,92
60,66
4,22
23,35
10,65
41,89
1,16
25,81
44,94
45,59
64,72
37,55
56,68
2,97
3,62
26,45
59,79
7,68
8,33
48,69
0,29
19,42
71,89
63,85
3,39
66,95
37,68
24,98
15,49
8,10
67,96
0,6
59,92
17,95
48,82
40,78
12,16
1,6
54,98
33,75
66,72
56,58
2,87
22,65
15,26
55,62
18,31
59,69
78,82
89,91
17,72
9,68
55,98
29,46
47,94
8,23
0,19
5,97
29,82
81,92
52,65
25,48
44,61
31,91
3,29
32,92
36,62
15,39
7,35
47,71
59,82
5,74
58,86
9,81
77,99
29,59
48,72
21,55
61,91
6,75
10,45
2,41
3,6
62,92
54,88
25,61
20,95
3,42
1,81
13,92
16,97
17,62
21,32
40,45
58,99
10,22
21,68
62,69
8,98
44,51
31,81
84,93
22,32
87,98
13,69
24,78
17,39
35,87
36,52
47,61
5,64
6,29
17,75
77,89
50,72
69,85
21,45
61,81
40,58
80,94
27,88
30,93
62,82
20,85
32,59
23,90
51,72
43,68
1,71
46,79
49,84
18,96
69,98
0,84
11,93
12,58
31,71
32,36
43,45
35,41
14,18
1,48
12,94
53,95
13,59
32,72
45,91
17,29
9,25
68,74
88,89
5,54
46,92
49,97
50,62
42,58
61,71
11,70
30,83
10,25
2,21
83,95
0,97
20,75
13,36
31,84
32,49
72,85
23,80
24,45
64,81
84,96
1,61
34,95
46,69
65,82
17,42
68,87
15,81
26,90
27,55
6,32
18,86
30,60
42,71
60,88
4,44
16,18
1,38
34,72
53,85
72,98
45,81
64,94
16,54
9,15
22,97
14,93
26,67
46,82
42,48
27,68
19,64
39,42
12,25
31,38
75,81
41,88
1,15
53,62
32,39
4,57
35,44
45,94
5,21
46,59
57,68
3,97
9,28
15,71
19,41
79,92
11,37
42,61
82,97
8,68
11,73
12,38
52,74
4,34
75,94
34,62
25,93
22,87
67,95
18,53
38,68
27,58
0,41
19,54
12,15
63,97
60,91
33,74
25,70
44,83
26,34
67,72
46,49
3,87
49,54
15,61
55,97
26,70
27,35
19,31
79,82
82,87
21,77
0,54
20,32
60,68
10,67
22,41
1,18
33,87
25,83
44,96
45,61
85,97
14,73
7,34
26,47
67,85
86,98
78,94
28,93
29,58
8,35
48,71
0,31
19,44
63,87
25,60
10,80
22,54
14,50
13,91
16,96
15,51
28,70
55,87
47,83
8,12
59,94
11,17
17,97
29,71
21,67
40,80
52,54
25,37
10,57
74,78
25,73
24,77
43,90
3,54
35,86
14,63
7,24
26,37
67,75
17,74
36,87
9,70
77,88
28,83
47,96
21,44
0,21
11,30
6,64
41,58
81,94
33,54
20,84
44,63
39,97
22,44
66,87
32,94
16,86
35,99
36,64
55,77
47,73
5,76
17,87
58,88
69,97
21,57
10,47
14,17
12,93
13,58
4,89
51,84
43,80
35,76
36,41
1,83
47,50
13,94
18,23
16,99
17,64
36,77
9,60
29,38
21,34
40,47
6,54
10,24
62,71
54,67
73,80
25,40
39,87
43,57
84,95
35,53
14,30
13,71
32,84
16,76
17,41
35,89
76,90
55,67
68,86
1,96
5,66
58,78
50,74
69,87
42,70
21,47
80,96
39,64
31,60
10,37
2,33
32,61
51,74
43,70
16,53
1,73
5,43
65,94
38,77
17,54
68,99
6,44
58,91
30,72
50,87
10,14
42,83
61,96
19,99
20,64
11,95
32,38
24,34
84,85
35,43
34,84
13,61
4,92
45,93
5,20
37,89
17,31
76,80
68,76
88,91
6,21
58,68
49,99
50,64
42,60
61,73
8,67
30,85
83,97
54,70
1,27
13,38
4,69
72,87
24,47
1,63
34,97
5,33
49,76
42,73
19,89
11,85
13,15
31,63
34,74
5,10
46,48
64,96
17,21
49,53
14,95
15,60
27,34
46,84
18,65
42,50
15,96
48,93
20,31
11,62
39,44
52,99
53,64
25,82
44,95
72,77
24,37
64,73
16,33
14,72
34,87
45,96
37,92
38,57
78,93
15,73
26,82
27,47
0,30
11,39
71,90
29,93
41,67
60,80
12,40
52,76
10,79
75,96
34,64
25,95
53,77
64,86
37,69
14,85
15,50
67,97
59,93
17,96
48,83
40,79
19,56
6,86
12,17
63,99
23,26
41,80
60,93
34,41
52,89
53,54
37,46
10,92
56,59
2,88
14,62
15,27
67,74
5,13
86,87
78,83
3,89
36,86
7,59
18,68
82,89
40,92
41,57
60,70
33,53
6,99
25,49
44,62
1,20
33,89
34,54
66,86
85,99
37,59
14,75
15,40
7,36
67,87
18,45
59,83
36,99
29,60
8,37
11,42
10,46
21,92
44,75
10,82
14,52
15,17
7,13
13,93
17,63
36,76
55,89
28,72
7,49
48,50
40,46
11,19
17,99
29,73
40,82
41,47
81,83
33,43
73,79
52,56
10,59
3,20
14,29
66,76
13,70
32,83
43,92
35,88
36,53
1,95
47,62
59,73
17,76
36,89
0,23
40,59
80,95
10,36
54,79
33,56
25,52
39,99
31,95
51,73
22,46
35,65
14,42
24,92
16,88
17,53
47,75
6,43
50,86
29,63
42,82
21,59
25,29
31,72
2,45
22,23
54,92
14,19
20,99
12,95
13,60
88,90
46,93
38,89
9,62
49,98
28,75
69,76
61,72
50,99
81,86
73,82
0,98
31,85
4,68
24,46
3,23
84,97
1,62
24,82
65,83
17,43
57,79
76,92
28,52
5,68
6,33
50,76
0,75
19,88
20,53
32,63
72,99
64,95
43,72
16,55
1,75
49,88
50,53
9,52
15,95
21,26
6,46
39,43
30,74
42,85
62,63
54,59
20,66
12,62
52,98
31,75
51,53
24,36
43,49
16,32
84,87
35,45
87,92
34,86
53,99
37,91
16,68
57,69
76,82
9,29
3,98
68,78
15,72
6,23
38,92
58,70
42,62
82,98
83,99
75,95
12,75
25,94
13,40
72,89
45,72
53,76
56,81
1,65
14,84
5,35
46,73
57,82
7,81
11,51
30,64
63,98
23,25
20,56
11,87
52,88
31,65
4,48
10,91
1,42
53,89
45,85
5,12
46,50
64,98
38,46
17,23
3,88
14,97
15,62
38,82
79,83
71,79
7,94
40,91
11,64
39,46
4,25
91,93
23,38
83,89
75,85
34,53
25,84
14,74
26,48
5,25
37,94
38,59
78,95
57,72
8,36
27,49
0,32
19,45
11,41
30,54
29,95
21,91
41,69
60,82
33,65
12,42
10,81
53,79
25,97
66,98
45,75
56,84
14,87
8,13
26,61
11,18
29,72
8,49
40,81
41,46
0,45
20,23
11,54
41,82
25,74
53,56
45,52
85,88
64,65
37,48
10,94
56,61
51,95
22,68
15,29
7,25
67,76
86,89
18,34
70,81
36,88
71,82
81,95
52,68
34,56
25,87
32,95
37,61
14,77
18,47
28,97
4,5
10,48
2,44
21,94
62,95
20,98
37,38
43,81
22,58
14,54
13,95
59,62
70,71
29,39
47,87
48,52
19,25
11,21
92,95
63,68
50,98
29,75
62,72
81,85
33,45
73,81
44,54
10,61
22,35
66,78
32,85
51,98
43,94
28,51
1,97
47,64
18,37
59,75
29,52
80,97
6,68
54,81
73,94
20,88
25,54
31,97
23,93
51,75
43,71
1,74
24,94
17,55
36,68
28,64
21,25
5,80
6,45
10,15
42,84
21,61
61,97
25,31
10,51
51,52
84,86
54,94
13,62
32,75
43,84
16,67
35,80
36,45
76,81
28,41
1,87
88,92
46,95
61,74
80,87
2,24
20,78
12,74
32,52
4,70
51,65
24,48
84,99
35,57
34,98
5,34
46,72
16,80
9,41
28,54
58,82
61,87
27,94
11,86
30,99
23,60
2,37
12,87
53,88
16,57
35,70
5,47
65,98
57,94
58,59
49,90
42,51
61,64
8,58
19,67
11,63
31,41
10,18
91,92
83,88
75,84
8,94
94,97
41,91
12,64
32,42
4,60
23,73
43,51
35,47
45,97
37,93
38,58
57,71
76,84
49,67
15,74
6,25
38,94
30,53
50,68
61,77
11,76
12,41
30,89
75,97
13,42
25,96
53,78
45,74
4,73
37,70
46,75
57,84
15,87
26,96
27,61
20,22
11,53
30,66
23,27
0,80
1,8
33,77
53,55
44,86
24,28
10,93
2,89
1,44
53,91
45,87
5,14
89,93
68,70
7,60
26,73
27,38
30,43
90,94
63,77
82,90
29,84
19,70
11,66
52,67
1,21
72,81
44,99
64,77
37,60
15,41
67,88
18,46
59,84
38,61
78,97
49,70
7,73
71,94
29,97
21,93
60,84
33,67
25,63
14,53
45,77
37,73
15,54
7,50
8,15
26,63
19,24
11,20
30,33
21,70
60,61
75,77
22,34
41,84
33,80
25,76
93,94
44,89
37,50
15,31
89,96
47,99
11,33
71,84
29,87
40,96
41,61
73,93
10,73
14,43
13,84
32,97
24,93
36,67
15,44
47,76
0,1
9,86
29,64
48,77
21,60
40,73
4,7
62,97
54,93
14,20
37,40
3,47
43,83
35,79
47,53
18,26
70,73
55,93
28,76
47,89
0,14
40,50
6,57
92,97
9,99
21,73
73,83
44,56
31,86
43,60
14,33
32,87
24,83
43,96
16,79
17,44
35,92
1,99
7,30
5,69
17,80
58,81
77,94
28,89
29,54
69,90
40,63
80,99
2,36
73,96
13,51
3,37
16,56
43,73
1,76
5,46
16,92
57,93
29,31
10,17
61,99
62,64
8,93
54,60
20,67
25,33
11,98
31,76
22,27
95,97
1,53
87,93
13,64
32,77
24,73
65,74
35,82
76,83
96,98
88,94
46,97
38,93
77,84
50,67
29,44
42,63
69,80
80,89
30,88
10,30
42,99
54,73
20,80
31,89
72,90
4,72
23,85
1,66
76,96
9,43
28,56
68,92
6,37
58,84
30,65
50,80
42,76
61,89
20,57
11,88
12,53
31,66
4,49
35,36
24,63
37,82
16,59
56,95
36,37
28,33
14,98
26,72
5,49
46,87
38,83
58,61
50,57
69,70
42,53
15,99
0,56
39,47
91,94
54,63
41,93
53,67
32,44
72,80
23,75
64,76
44,98
43,53
84,91
87,96
45,99
46,64
38,60
17,37
76,86
15,76
7,72
18,81
63,89
42,66
8,73
20,47
60,83
39,60
52,79
23,52
75,99
1,33
53,80
25,98
72,93
64,89
37,72
9,10
15,53
46,77
18,58
38,73
49,82
15,89
48,86
18,94
20,24
11,55
30,68
75,76
41,83
1,10
33,79
13,21
44,88
64,66
10,95
16,26
14,65
45,89
46,54
65,67
38,50
49,59
68,72
7,62
19,36
79,87
