itr,node,opinion,threshold
0,0,A,1
0,1,B,1
0,2,B,2
0,3,A,2
0,4,B,2
0,5,D,2
0,6,B,1
0,7,C,2
0,8,B,1
0,9,D,2
0,10,C,1
0,11,A,2
0,12,D,1
0,13,C,2
0,14,A,1
0,15,B,2
0,16,A,2
0,17,C,1
0,18,B,1
0,19,C,2
0,20,D,2
0,21,C,2
0,22,B,1
0,23,D,1
0,24,C,2
0,25,C,1
0,26,B,1
0,27,B,1
0,28,C,1
0,29,D,1
0,30,A,2
0,31,B,1
0,32,B,1
0,33,A,1
0,34,D,1
0,35,C,1
0,36,B,2
0,37,C,1
0,38,D,2
0,39,C,2
0,40,A,1
0,41,A,2
0,42,B,2
0,43,A,2
0,44,B,1
0,45,B,1
0,46,B,1
0,47,B,1
0,48,A,2
0,49,B,1
0,50,B,1
0,51,B,1
0,52,A,2
0,53,B,1
0,54,B,2
0,55,D,2
0,56,A,2
0,57,B,1
0,58,A,1
0,59,B,1
0,60,D,1
0,61,B,1
0,62,A,2
0,63,A,2
0,64,C,2
0,65,B,2
0,66,C,2
0,67,B,2
0,68,C,1
0,69,C,1
0,70,B,1
0,71,D,1
0,72,B,2
0,73,C,2
0,74,B,2
0,75,C,2
0,76,D,2
0,77,B,1
0,78,D,2
0,79,D,2
0,80,D,2
0,81,A,1
0,82,C,2
0,83,B,1
0,84,D,1
0,85,B,1
0,86,D,1
0,87,C,2
0,88,A,2
0,89,B,1
0,90,B,1
0,91,C,2
0,92,A,2
0,93,B,1
0,94,A,2
0,95,A,2
0,96,D,1
0,97,B,1
0,98,A,2
0,99,B,2
1,0,A,1
1,1,B,1
1,2,B,2
1,3,A,2
1,4,B,2
1,5,D,2
1,6,B,1
1,7,C,2
1,8,B,1
1,9,D,2
1,10,C,1
1,11,A,2
1,12,C,1
1,13,C,2
1,14,B,1
1,15,B,2
1,16,A,2
1,17,C,1
1,18,B,1
1,19,C,2
1,20,D,2
1,21,C,2
1,22,B,1
1,23,C,1
1,24,C,2
1,25,C,1
1,26,B,1
1,27,B,1
1,28,C,1
1,29,C,1
1,30,A,2
1,31,B,1
1,32,B,1
1,33,B,1
1,34,C,1
1,35,C,1
1,36,B,2
1,37,C,1
1,38,D,2
1,39,C,2
1,40,B,1
1,41,A,2
1,42,B,2
1,43,A,2
1,44,B,1
1,45,B,1
1,46,B,1
1,47,B,1
1,48,A,2
1,49,B,1
1,50,B,1
1,51,B,1
1,52,A,2
1,53,B,1
1,54,B,2
1,55,D,2
1,56,A,2
1,57,B,1
1,58,A,1
1,59,B,1
1,60,C,1
1,61,B,1
1,62,A,2
1,63,A,2
1,64,C,2
1,65,B,2
1,66,C,2
1,67,B,2
1,68,C,1
1,69,C,1
1,70,B,1
1,71,C,1
1,72,B,2
1,73,C,2
1,74,B,2
1,75,C,2
1,76,D,2
1,77,B,1
1,78,D,2
1,79,D,2
1,80,D,2
1,81,A,1
1,82,C,2
1,83,B,1
1,84,C,1
1,85,B,1
1,86,C,1
1,87,C,2
1,88,A,2
1,89,B,1
1,90,B,1
1,91,C,2
1,92,A,2
1,93,B,1
1,94,A,2
1,95,A,2
1,96,C,1
1,97,B,1
1,98,A,2
1,99,B,2
2,0,A,1
2,1,B,1
2,2,B,2
2,3,A,2
2,4,B,2
2,5,D,2
2,6,B,1
2,7,C,2
2,8,B,1
2,9,D,2
2,10,C,1
2,11,A,2
2,12,C,1
2,13,C,2
2,14,B,1
2,15,B,2
2,16,A,2
2,17,C,1
2,18,B,1
2,19,C,2
2,20,D,2
2,21,C,2
2,22,B,1
2,23,C,1
2,24,C,2
2,25,C,1
2,26,B,1
2,27,B,1
2,28,C,1
2,29,C,1
2,30,A,2
2,31,B,1
2,32,B,1
2,33,B,1
2,34,B,1
2,35,C,1
2,36,B,2
2,37,C,1
2,38,D,2
2,39,C,2
2,40,B,1
2,41,A,2
2,42,B,2
2,43,A,2
2,44,B,1
2,45,B,1
2,46,B,1
2,47,B,1
2,48,A,2
2,49,B,1
2,50,B,1
2,51,B,1
2,52,A,2
2,53,B,1
2,54,B,2
2,55,D,2
2,56,A,2
2,57,B,1
2,58,A,1
2,59,B,1
2,60,C,1
2,61,B,1
2,62,A,2
2,63,A,2
2,64,C,2
2,65,B,2
2,66,C,2
2,67,B,2
2,68,C,1
2,69,C,1
2,70,B,1
2,71,C,1
2,72,B,2
2,73,C,2
2,74,B,2
2,75,C,2
2,76,D,2
2,77,B,1
2,78,D,2
2,79,D,2
2,80,D,2
2,81,A,1
2,82,C,2
2,83,B,1
2,84,C,1
2,85,B,1
2,86,C,1
2,87,C,2
2,88,A,2
2,89,B,1
2,90,B,1
2,91,C,2
2,92,A,2
2,93,B,1
2,94,A,2
2,95,A,2
2,96,C,1
2,97,B,1
2,98,A,2
2,99,B,2
3,0,A,1
3,1,B,1
3,2,B,2
3,3,A,2
3,4,B,2
3,5,D,2
3,6,B,1
3,7,C,2
3,8,B,1
3,9,D,2
3,10,C,1
3,11,A,2
3,12,C,1
3,13,C,2
3,14,B,1
3,15,B,2
3,16,A,2
3,17,C,1
3,18,B,1
3,19,C,2
3,20,D,2
3,21,C,2
3,22,B,1
3,23,C,1
3,24,C,2
3,25,C,1
3,26,B,1
3,27,B,1
3,28,C,1
3,29,C,1
3,30,A,2
3,31,B,1
3,32,B,1
3,33,B,1
3,34,B,1
3,35,C,1
3,36,B,2
3,37,C,1
3,38,D,2
3,39,C,2
3,40,B,1
3,41,A,2
3,42,B,2
3,43,A,2
3,44,B,1
3,45,B,1
3,46,B,1
3,47,B,1
3,48,A,2
3,49,B,1
3,50,B,1
3,51,B,1
3,52,A,2
3,53,B,1
3,54,B,2
3,55,D,2
3,56,A,2
3,57,B,1
3,58,A,1
3,59,B,1
3,60,C,1
3,61,B,1
3,62,A,2
3,63,A,2
3,64,C,2
3,65,B,2
3,66,C,2
3,67,B,2
3,68,C,1
3,69,C,1
3,70,B,1
3,71,C,1
3,72,B,2
3,73,C,2
3,74,B,2
3,75,C,2
3,76,D,2
3,77,B,1
3,78,D,2
3,79,D,2
3,80,D,2
3,81,A,1
3,82,C,2
3,83,B,1
3,84,C,1
3,85,B,1
3,86,C,1
3,87,C,2
3,88,A,2
3,89,B,1
3,90,B,1
3,91,C,2
3,92,A,2
3,93,B,1
3,94,A,2
3,95,A,2
3,96,C,1
3,97,B,1
3,98,A,2
3,99,B,2
