iteration,node,opinion,threshold
0,0,Neutral,2
0,1,Neutral,3
0,2,Neutral,3
0,3,Neutral,4
0,4,No,2
0,5,Neutral,4
0,6,Yes,3
0,7,No,3
0,8,Neutral,2
0,9,Neutral,3
0,10,Neutral,3
0,11,Neutral,4
0,12,Neutral,3
0,13,No,4
0,14,No,3
0,15,Neutral,3
0,16,Neutral,3
0,17,Yes,2
0,18,Neutral,4
0,19,Neutral,4
0,20,Neutral,3
0,21,No,3
0,22,Neutral,3
0,23,Neutral,3
0,24,No,4
0,25,No,4
0,26,Yes,4
0,27,Yes,2
0,28,Yes,3
0,29,Yes,5
0,30,No,3
0,31,Yes,4
0,32,Neutral,3
0,33,Neutral,3
0,34,Yes,4
0,35,Yes,2
0,36,Neutral,3
0,37,Neutral,3
0,38,Neutral,3
0,39,Neutral,3
0,40,Neutral,2
0,41,Neutral,2
0,42,No,3
0,43,No,3
0,44,Neutral,2
0,45,Neutral,4
0,46,Neutral,4
0,47,Neutral,2
0,48,Neutral,4
0,49,Neutral,3
0,50,No,3
0,51,No,3
0,52,No,3
0,53,Neutral,3
0,54,Yes,3
0,55,Neutral,2
0,56,Yes,3
0,57,No,3
0,58,Neutral,2
0,59,Neutral,4
0,60,Neutral,3
0,61,Yes,3
0,62,Neutral,2
0,63,No,3
0,64,Neutral,3
0,65,Neutral,2
0,66,Neutral,2
0,67,Neutral,2
0,68,No,4
0,69,No,3
0,70,Neutral,3
0,71,Neutral,3
0,72,Neutral,4
0,73,Neutral,3
0,74,No,3
0,75,Neutral,4
0,76,Neutral,4
0,77,Neutral,2
0,78,Yes,2
0,79,Neutral,3
0,80,Neutral,3
0,81,Neutral,2
0,82,Neutral,3
0,83,Yes,3
0,84,No,3
0,85,Yes,3
0,86,Neutral,4
0,87,Neutral,4
0,88,Neutral,3
0,89,Yes,3
0,90,Neutral,2
0,91,Neutral,3
0,92,Yes,4
0,93,Neutral,2
0,94,Neutral,3
0,95,No,4
0,96,Yes,2
0,97,Yes,3
0,98,Yes,3
0,99,Neutral,2
1,0,Yes,2
1,1,Neutral,3
1,2,Neutral,3
1,3,Neutral,4
1,4,Yes,2
1,5,No,4
1,6,Yes,3
1,7,Yes,3
1,8,No,2
1,9,No,3
1,10,Neutral,3
1,11,Yes,4
1,12,Neutral,3
1,13,No,4
1,14,Yes,3
1,15,Neutral,3
1,16,No,3
1,17,Yes,2
1,18,Neutral,4
1,19,Yes,4
1,20,Neutral,3
1,21,No,3
1,22,No,3
1,23,Yes,3
1,24,No,4
1,25,No,4
1,26,No,4
1,27,No,2
1,28,Yes,3
1,29,Yes,5
1,30,Yes,3
1,31,No,4
1,32,Neutral,3
1,33,No,3
1,34,No,4
1,35,No,2
1,36,Neutral,3
1,37,No,3
1,38,Yes,3
1,39,Yes,3
1,40,Neutral,2
1,41,Yes,2
1,42,No,3
1,43,Yes,3
1,44,Yes,2
1,45,Yes,4
1,46,Neutral,4
1,47,Yes,2
1,48,No,4
1,49,No,3
1,50,Yes,3
1,51,Yes,3
1,52,Yes,3
1,53,Neutral,3
1,54,No,3
1,55,Yes,2
1,56,No,3
1,57,No,3
1,58,Neutral,2
1,59,Neutral,4
1,60,Yes,3
1,61,Yes,3
1,62,Yes,2
1,63,No,3
1,64,No,3
1,65,Neutral,2
1,66,Neutral,2
1,67,Yes,2
1,68,Yes,4
1,69,No,3
1,70,Yes,3
1,71,Yes,3
1,72,Yes,4
1,73,Neutral,3
1,74,Yes,3
1,75,Neutral,4
1,76,No,4
1,77,Neutral,2
1,78,Yes,2
1,79,Yes,3
1,80,Yes,3
1,81,Yes,2
1,82,No,3
1,83,No,3
1,84,Yes,3
1,85,Yes,3
1,86,No,4
1,87,No,4
1,88,Neutral,3
1,89,No,3
1,90,Neutral,2
1,91,Yes,3
1,92,Yes,4
1,93,No,2
1,94,No,3
1,95,No,4
1,96,No,2
1,97,No,3
1,98,No,3
1,99,No,2
2,0,Yes,2
2,1,No,3
2,2,Yes,3
2,3,No,4
2,4,No,2
2,5,No,4
2,6,Yes,3
2,7,No,3
2,8,Yes,2
2,9,Yes,3
2,10,Yes,3
2,11,No,4
2,12,Yes,3
2,13,No,4
2,14,Yes,3
2,15,Yes,3
2,16,No,3
2,17,No,2
2,18,No,4
2,19,Yes,4
2,20,No,3
2,21,Yes,3
2,22,Yes,3
2,23,Yes,3
2,24,No,4
2,25,Yes,4
2,26,Yes,4
2,27,Yes,2
2,28,Yes,3
2,29,Yes,5
2,30,No,3
2,31,No,4
2,32,No,3
2,33,Yes,3
2,34,Yes,4
2,35,Yes,2
2,36,Yes,3
2,37,Yes,3
2,38,No,3
2,39,Yes,3
2,40,No,2
2,41,No,2
2,42,No,3
2,43,No,3
2,44,Yes,2
2,45,No,4
2,46,No,4
2,47,No,2
2,48,Yes,4
2,49,No,3
2,50,No,3
2,51,No,3
2,52,No,3
2,53,No,3
2,54,No,3
2,55,No,2
2,56,Yes,3
2,57,Yes,3
2,58,No,2
